deal_id,tranche,attach,detach,original_balance,current_balance,pct_bal_reported,pct_sub_reported,coupon_all_in_pct,coupon_index,coupon_spread_bps_derived,mv_oc_reported,par_oc_reported,oc_test_group,cusip,figi,rating_sp,rating_moodys,manager_name,source_family,fill_source
ARES_2023_68A,A1R,0.383896,1.008818,307500000.0,307500000.0,61.9%,38.6%,4.977,TSFR3M (confirm per class from DES/Periodic Report),132.1,154.6%,162.9%,Class AB,,,,,Ares CLO Management LLC,bloomberg_clo,market_value_overview_ares_2023.xlsx (MV folder); attach/detach computed loss-basis vs tape par; spread derived as all-in Cpn minus TSFR3M 3.656 (VERIFY per class vs DES pages / Periodic Report note detail); SUB coupon 0 = equity. Single-source until Periodic Report confirmation (two-source rule).
ARES_2023_68A,A2R,0.34325,0.383896,20000000.0,20000000.0,4.0%,34.6%,5.267,TSFR3M (confirm per class from DES/Periodic Report),161.1,145.1%,152.9%,Class AB,,,,,Ares CLO Management LLC,bloomberg_clo,market_value_overview_ares_2023.xlsx (MV folder); attach/detach computed loss-basis vs tape par; spread derived as all-in Cpn minus TSFR3M 3.656 (VERIFY per class vs DES pages / Periodic Report note detail); SUB coupon 0 = equity. Single-source until Periodic Report confirmation (two-source rule).
ARES_2023_68A,BR,0.236556,0.34325,52500000.0,52500000.0,10.6%,24.1%,5.367,TSFR3M (confirm per class from DES/Periodic Report),171.1,125.1%,131.8%,Class AB,,,,,Ares CLO Management LLC,bloomberg_clo,market_value_overview_ares_2023.xlsx (MV folder); attach/detach computed loss-basis vs tape par; spread derived as all-in Cpn minus TSFR3M 3.656 (VERIFY per class vs DES pages / Periodic Report note detail); SUB coupon 0 = equity. Single-source until Periodic Report confirmation (two-source rule).
ARES_2023_68A,CR,0.175588,0.236556,30000000.0,30000000.0,6.0%,18.1%,5.617,TSFR3M (confirm per class from DES/Periodic Report),196.1,115.9%,122.1%,Class C,,,,,Ares CLO Management LLC,bloomberg_clo,market_value_overview_ares_2023.xlsx (MV folder); attach/detach computed loss-basis vs tape par; spread derived as all-in Cpn minus TSFR3M 3.656 (VERIFY per class vs DES pages / Periodic Report note detail); SUB coupon 0 = equity. Single-source until Periodic Report confirmation (two-source rule).
ARES_2023_68A,D1R,0.119701,0.175588,27500000.0,27500000.0,5.5%,12.6%,6.667,TSFR3M (confirm per class from DES/Periodic Report),301.1,108.6%,114.5%,Class D (shared),,,,,Ares CLO Management LLC,bloomberg_clo,market_value_overview_ares_2023.xlsx (MV folder); attach/detach computed loss-basis vs tape par; spread derived as all-in Cpn minus TSFR3M 3.656 (VERIFY per class vs DES pages / Periodic Report note detail); SUB coupon 0 = equity. Single-source until Periodic Report confirmation (two-source rule).
ARES_2023_68A,D2R,0.104459,0.119701,7500000.0,7500000.0,1.5%,11.1%,7.817,TSFR3M (confirm per class from DES/Periodic Report),416.1,106.8%,112.5%,Class D (shared),,,,,Ares CLO Management LLC,bloomberg_clo,market_value_overview_ares_2023.xlsx (MV folder); attach/detach computed loss-basis vs tape par; spread derived as all-in Cpn minus TSFR3M 3.656 (VERIFY per class vs DES pages / Periodic Report note detail); SUB coupon 0 = equity. Single-source until Periodic Report confirmation (two-source rule).
ARES_2023_68A,ER,0.073975,0.104459,15000000.0,15000000.0,3.0%,8.1%,9.667,TSFR3M (confirm per class from DES/Periodic Report),601.1,103.3%,108.9%,Class E,,,,,Ares CLO Management LLC,bloomberg_clo,market_value_overview_ares_2023.xlsx (MV folder); attach/detach computed loss-basis vs tape par; spread derived as all-in Cpn minus TSFR3M 3.656 (VERIFY per class vs DES pages / Periodic Report note detail); SUB coupon 0 = equity. Single-source until Periodic Report confirmation (two-source rule).
ARES_2023_68A,F,0.072958,0.073975,500000.0,500000.0,0.1%,8.0%,13.747,TSFR3M (confirm per class from DES/Periodic Report),1009.1,103.2%,108.8%,none,,,,,Ares CLO Management LLC,bloomberg_clo,market_value_overview_ares_2023.xlsx (MV folder); attach/detach computed loss-basis vs tape par; spread derived as all-in Cpn minus TSFR3M 3.656 (VERIFY per class vs DES pages / Periodic Report note detail); SUB coupon 0 = equity. Single-source until Periodic Report confirmation (two-source rule).
ARES_2023_68A,SUB,0.0,0.072958,35900000.0,35900000.0,7.2%,0.0%,0.0,TSFR3M (confirm per class from DES/Periodic Report),0.0,41.3%,112.3%,equity,,,,,Ares CLO Management LLC,bloomberg_clo,market_value_overview_ares_2023.xlsx (MV folder); attach/detach computed loss-basis vs tape par; spread derived as all-in Cpn minus TSFR3M 3.656 (VERIFY per class vs DES pages / Periodic Report note detail); SUB coupon 0 = equity. Single-source until Periodic Report confirmation (two-source rule).
