deal_id,as_of_date,as_of_date_provisional,loan_id,loan_id_source,loan_identifier,sector,moodys_industry,current_balance,weight,rating,sp_issuer_rating,rating_for_pd,rating_for_pd_source,market_price,price_source,coupon_type,coupon_rate_pct,coupon_spread_bps,coupon_floor,reference_rate,discount_margin_bps,dm_source,maturity_date,maturity_years_provisional,maturity_years,annual_pd,annual_cpr,lgd,lgd_source,lgd_base,default_status,default_date,covenant_lite,country,source_family
ARES_2023_68A,,2026-05-31,30260UAM7,CUSIP,"FCG Acquisitions, Inc. | Term Loan B (2/26)",Machinery,Capital Equipment,780000.0,0.001585169981678686,B-,B-,B-,SP_ISSUER,100.563,BBG_LAST_PRICE,FLT,6.9022,325.0,0.0,0.0365621,325.0,PAR_DM_APPROX_EQ_SPREAD,2033-03-04,6.7598,6.7598,,,0.7,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,N9833RAK5,CUSIP,Ziggo Financing Partnership | Term Loan B,Diversified Telecommunication Services,Telecommunications,755035.96,0.0015344363318973706,B+,B+,B+,SP_ISSUER,96.563,BBG_LAST_PRICE,FLT,6.9116,322.0,0.0,0.0365621,322.0,PAR_DM_APPROX_EQ_SPREAD,2033-01-14,6.6256,6.6256,,,0.55,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,83541WAC5,CUSIP,SonarSource Financing LLC | Term Loan,Software,High Tech Industries,748303.57,0.0015207543030089682,B,B,B,SP_ISSUER,95.25,BBG_LAST_PRICE,FLT,8.1752,450.0,0.0,0.0365621,450.0,PAR_DM_APPROX_EQ_SPREAD,2030-12-19,4.553,4.553,,,0.55,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,BBG021MBKNY6,FIGI,NRG Energy Inc | Term Loan B (4/26),Electric Utilities,Utilities: Electric,720000.0,0.001463233829241864,BB,BB,BB,SP_ISSUER,100.188,BBG_LAST_PRICE,FLT,5.418,175.0,0.0,0.0365621,175.0,PAR_DM_APPROX_EQ_SPREAD,2033-04-15,6.8747,6.8747,,,0.3,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,89334GBG8,CUSIP,Trans Union LLC | Term Loan B9 (11/24),Professional Services,"Banking, Finance, Insurance & Real Estate",718583.71,0.0014603555466862848,BB+,BB+,BB+,SP_ISSUER,99.938,BBG_LAST_PRICE,FLT,5.4022,175.0,0.005,0.0365621,175.0,PAR_DM_APPROX_EQ_SPREAD,2031-06-24,5.065,5.065,,,0.4,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,26812CAN6,CUSIP,"Dynasty Acquisition Co., Inc. | Term Loan B-1 (10/24)",Aerospace & Defense,Aerospace & Defense,715388.89,0.0014538628123774815,BB-,BB-,BB-,SP_ISSUER,100.375,BBG_LAST_PRICE,FLT,5.6522,200.0,0.0,0.0365621,200.0,PAR_DM_APPROX_EQ_SPREAD,2031-10-31,5.4182,5.4182,,,0.65,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,12511BAC6,CUSIP,CCC Intelligent Solutions Inc. | Term Loan B,Software,Services: Business,708292.88,0.0014394418097599278,BB-,BB-,BB-,SP_ISSUER,99.625,BBG_LAST_PRICE,FLT,5.6522,200.0,0.005,0.0365621,200.0,PAR_DM_APPROX_EQ_SPREAD,2032-01-23,5.6482,5.6482,,,0.6,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,78424SAB8,CUSIP,SGH2 LLC | Term Loan B (7/25),"Hotels, Restaurants & Leisure","Hotel, Gaming & Leisure",706165.55,0.0014351185025072042,B-,B-,B-,SP_ISSUER,99.688,BBG_LAST_PRICE,FLT,8.1996,450.0,0.0,0.0365621,450.0,PAR_DM_APPROX_EQ_SPREAD,2032-08-18,6.2177,6.2177,,,0.7,1_MINUS_SP_RECOVERY_RATE,,No,,Yes,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,817826AD2,CUSIP,7-Eleven Inc. | 7-Eleven   1.3%   2/10/28,Consumer Staples Distribution & Retail,Consumer Goods: Non-Durable,705000.0,0.0014327497911326586,A-,A-,A-,SP_ISSUER,94.966,BBG_LAST_PRICE,FXD,1.3,0.0,0.013,0.0365621,0.0,PAR_DM_APPROX_EQ_SPREAD,2028-02-10,1.6975,1.6975,,,0.82,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
ARES_2023_68A,,2026-05-31,50550EAF5,CUSIP,Lackawanna Energy Center LLC | Term Loan B (07/25),Electric Utilities,Energy: Electricity,700729.88,0.0014240717577452666,B+,,B+,SP_ISSUE_FALLBACK,100.375,BBG_LAST_PRICE,FLT,6.4106,275.0,0.0,0.0365621,275.0,PAR_DM_APPROX_EQ_SPREAD,2032-08-05,6.1821,6.1821,,,0.45,1_MINUS_SP_RECOVERY_RATE,,No,, ,US,bloomberg_clo
