deal_id,report_date,tranche,oc_ratio,oc_trigger_level,ic_ratio,trustee_oc_ratio,trustee_ic_ratio,trustee_determination_date,ccc_bucket_pct,source_family,source_note
ARES_2023_68A,2026-05-31,A1R,1.3125,1.216,1.5011,,,,6.9,bloomberg_clo,"Bloomberg TRIG panel, AB test group mapped per class; ratios as decimals; report_date PROVISIONAL (determination date pending); trustee columns to fill from Monthly_Report_05_26 (not the PNG screenshot)."
ARES_2023_68A,2026-05-31,A2R,1.3125,1.216,1.5011,,,,6.9,bloomberg_clo,"Bloomberg TRIG panel, AB test group mapped per class; ratios as decimals; report_date PROVISIONAL (determination date pending); trustee columns to fill from Monthly_Report_05_26 (not the PNG screenshot)."
ARES_2023_68A,2026-05-31,BR,1.3125,1.216,1.5011,,,,6.9,bloomberg_clo,"Bloomberg TRIG panel, AB test group mapped per class; ratios as decimals; report_date PROVISIONAL (determination date pending); trustee columns to fill from Monthly_Report_05_26 (not the PNG screenshot)."
ARES_2023_68A,2026-05-31,CR,1.2165000000000001,1.14,1.3798,,,,6.9,bloomberg_clo,"Bloomberg TRIG panel, C test group mapped per class; ratios as decimals; report_date PROVISIONAL (determination date pending); trustee columns to fill from Monthly_Report_05_26 (not the PNG screenshot)."
ARES_2023_68A,2026-05-31,D1R,1.1208,1.064,1.2364,,,,6.9,bloomberg_clo,"Bloomberg TRIG panel, D test group mapped per class; ratios as decimals; report_date PROVISIONAL (determination date pending); trustee columns to fill from Monthly_Report_05_26 (not the PNG screenshot)."
ARES_2023_68A,2026-05-31,D2R,1.1208,1.064,1.2364,,,,6.9,bloomberg_clo,"Bloomberg TRIG panel, D test group mapped per class; ratios as decimals; report_date PROVISIONAL (determination date pending); trustee columns to fill from Monthly_Report_05_26 (not the PNG screenshot)."
ARES_2023_68A,2026-05-31,ER,1.0842,1.042,1.1639,,,,6.9,bloomberg_clo,"Bloomberg TRIG panel, E test group mapped per class; ratios as decimals; report_date PROVISIONAL (determination date pending); trustee columns to fill from Monthly_Report_05_26 (not the PNG screenshot)."
ARES_2023_68A,2026-05-31,F,1.0842,1.047,,,,,6.9,bloomberg_clo,"Bloomberg TRIG panel, ID test group mapped per class; ratios as decimals; report_date PROVISIONAL (determination date pending); trustee columns to fill from Monthly_Report_05_26 (not the PNG screenshot)."
ARES_2023_68A,2026-05-31,SUB,1.0842,1.047,,,,,6.9,bloomberg_clo,"Bloomberg TRIG panel, ID test group mapped per class; ratios as decimals; report_date PROVISIONAL (determination date pending); trustee columns to fill from Monthly_Report_05_26 (not the PNG screenshot)."
