rho,pooled_pd,observed_default_rate_var,model_default_rate_var,objective
0.01,0.01707438221780703,0.0005132671438766075,0.00011823818171296602,1.5604788094808372e-07
0.014927536231884059,0.01707438221780703,0.0005132671438766075,0.00012750859253350083,1.4880965993433232e-07
0.019855072463768116,0.01707438221780703,0.0005132671438766075,0.00013698084371036224,1.4159137969280165e-07
0.024782608695652172,0.01707438221780703,0.0005132671438766075,0.0001466575625237425,1.3440258513972297e-07
0.02971014492753623,0.01707438221780703,0.0005132671438766075,0.00015654138705958285,1.2725326557667905e-07
0.034637681159420286,0.01707438221780703,0.0005132671438766075,0.00016663496633374336,1.2015386650810772e-07
0.03956521739130435,0.01707438221780703,0.0005132671438766075,0.00017694096042745073,1.1311530167347588e-07
0.04449275362318841,0.01707438221780703,0.0005132671438766075,0.00018746204063411492,1.061489652988513e-07
0.04942028985507246,0.01707438221780703,0.0005132671438766075,0.00019820088961763297,9.926674457278081e-08
0.05434782608695652,0.01707438221780703,0.0005132671438766075,0.0002091602015822752,9.24810323516084e-08
0.05927536231884058,0.01707438221780703,0.0005132671438766075,0.00022034268245428116,8.580474009955999e-08
0.06420289855072463,0.01707438221780703,0.0005132671438766075,0.00023175105007527605,7.925131106916007e-08
0.06913043478260869,0.01707438221780703,0.0005132671438766075,0.00024338803440764972,7.283473372775771e-08
0.07405797101449274,0.01707438221780703,0.0005132671438766075,0.0002552563777520183,6.656955543619749e-08
0.0789855072463768,0.01707438221780703,0.0005132671438766075,0.0002673588349769253,6.047089638590153e-08
0.08391304347826085,0.01707438221780703,0.0005132671438766075,0.0002796981737609169,5.45544638009044e-08
0.08884057971014492,0.01707438221780703,0.0005132671438766075,0.00029227717484716373,4.883656641163454e-08
0.09376811594202898,0.01707438221780703,0.0005132671438766075,0.0003050986323107857,4.33341292075297e-08
0.09869565217391303,0.01707438221780703,0.0005132671438766075,0.0003181653538390581,3.806470847585602e-08
0.1036231884057971,0.01707438221780703,0.0005132671438766075,0.0003314801610246838,3.3046507134405616e-08
0.10855072463768115,0.01707438221780703,0.0005132671438766075,0.00034504588967232137,2.829839036606307e-08
0.11347826086956521,0.01707438221780703,0.0005132671438766075,0.0003588653901185786,2.3839901563555007e-08
0.11840579710144926,0.01707438221780703,0.0005132671438766075,0.0003729415275656822,1.969127859304103e-08
0.12333333333333332,0.01707438221780703,0.0005132671438766075,0.00038727718242904377,1.5873470385558608e-08
0.1282608695652174,0.01707438221780703,0.0005132671438766075,0.0004018752506989718,1.2408153865697818e-08
0.13318840579710145,0.01707438221780703,0.0005132671438766075,0.000416738644316758,9.317751227275877e-09
0.1381159420289855,0.01707438221780703,0.0005132671438766075,0.0004318702915654238,6.6254475661686556e-09
0.14304347826086958,0.01707438221780703,0.0005132671438766075,0.0004472731374753809,4.355208880885144e-09
0.14797101449275363,0.01707438221780703,0.0005132671438766075,0.00046295014424529177,2.531800451897832e-09
0.15289855072463768,0.01707438221780703,0.0005132671438766075,0.0004789042916784568,1.1808056111919516e-09
0.15782608695652173,0.01707438221780703,0.0005132671438766075,0.0004951385776350084,3.28644913976048e-10
0.1627536231884058,0.01707438221780703,0.0005132671438766075,0.0005116560185002789,2.595724978250205e-12
0.16768115942028985,0.01707438221780703,0.0005132671438766075,0.0005284596496696542,2.3081223227175713e-10
0.1726086956521739,0.01707438221780703,0.0005132671438766075,0.0005455525260503176,1.0423459021025152e-09
0.17753623188405798,0.01707438221780703,0.0005132671438766075,0.0005629377225802261,2.467166388752368e-09
0.18246376811594203,0.01707438221780703,0.0005132671438766075,0.0005806183347647441,4.536182914050211e-09
0.18739130434782608,0.01707438221780703,0.0005132671438766075,0.0005985974792313543,7.28126613175355e-09
0.19231884057971013,0.01707438221780703,0.0005132671438766075,0.000616878294302859,1.0735270492651296e-08
0.1972463768115942,0.01707438221780703,0.0005132671438766075,0.0006354639405895754,1.4932057126910383e-08
0.20217391304347826,0.01707438221780703,0.0005132671438766075,0.0006543576016009505,1.9906517260864614e-08
0.2071014492753623,0.01707438221780703,0.0005132671438766075,0.000673562484377158,2.5694596186187414e-08
0.2120289855072464,0.01707438221780703,0.0005132671438766075,0.0006930818201411604,3.233331780012595e-08
0.21695652173913044,0.01707438221780703,0.0005132671438766075,0.000712918864971809,3.9860809736276114e-08
0.2218840579710145,0.01707438221780703,0.0005132671438766075,0.0007330769004985556,4.8316329106200054e-08
0.22681159420289854,0.01707438221780703,0.0005132671438766075,0.000753559234618386,5.77402888730551e-08
0.23173913043478261,0.01707438221780703,0.0005132671438766075,0.0007743692022356024,6.817428487930396e-08
0.23666666666666666,0.01707438221780703,0.0005132671438766075,0.0007955101660251138,7.966112355152221e-08
0.24159420289855071,0.01707438221780703,0.0005132671438766075,0.000816985517219948,9.224485030632472e-08
0.2465217391304348,0.01707438221780703,0.0005132671438766075,0.0008387986764236887,1.0597077868245138e-07
0.2514492753623188,0.01707438221780703,0.0005132671438766075,0.0008609530944486147,1.2088552022516022e-07
0.2563768115942029,0.01707438221780703,0.0005132671438766075,0.0008834522531803245,1.370370151502049e-07
0.26130434782608697,0.01707438221780703,0.0005132671438766075,0.0009062996664696981,1.5447456381588822e-07
0.266231884057971,0.01707438221780703,0.0005132671438766075,0.0009294988810530417,1.7324885903291214e-07
0.27115942028985507,0.01707438221780703,0.0005132671438766075,0.0009530534775013622,1.93412019243104e-07
0.27608695652173915,0.01707438221780703,0.0005132671438766075,0.0009769670711996963,2.1501762259943784e-07
0.28101449275362317,0.01707438221780703,0.0005132671438766075,0.001001243313357517,2.3812074198126126e-07
0.28594202898550725,0.01707438221780703,0.0005132671438766075,0.0010258858920512643,2.627779809801521e-07
0.2908695652173913,0.01707438221780703,0.0005132671438766075,0.0010508985333000814,2.8904751089341497e-07
0.29579710144927535,0.01707438221780703,0.0005132671438766075,0.0010762850021759389,3.1698910876396594e-07
0.3007246376811594,0.01707438221780703,0.0005132671438766075,0.0011020491039493167,3.4666419650706133e-07
0.30565217391304345,0.01707438221780703,0.0005132671438766075,0.0011281946852717915,3.781358811663256e-07
0.3105797101449275,0.01707438221780703,0.0005132671438766075,0.0011547256353966607,4.1146899634318215e-07
0.3155072463768116,0.01707438221780703,0.0005132671438766075,0.0011816458874392697,4.467301448464029e-07
0.3204347826086956,0.01707438221780703,0.0005132671438766075,0.0012089594196782623,4.839877426100857e-07
0.3253623188405797,0.01707438221780703,0.0005132671438766075,0.0012366702568994113,5.233120639310833e-07
0.3302898550724638,0.01707438221780703,0.0005132671438766075,0.001264782471783585,5.647752880791317e-07
0.3352173913043478,0.01707438221780703,0.0005132671438766075,0.0012933001863405407,6.084515473355401e-07
