Groups,Issuer,Current Balance,Equity Holding Shares,Bloomberg FIGI,CUSIP,Security Name,Last Price,Seniority,Lien Priority,Is Covenant Lite,Funded Amount,Payment Frequency,Coupon Type,Day Count,Margin,Coupon,Index Floor Rate,Commitment Fee Rate,Maturity Date,Moody's Issuer Rating,Moody's Reported Rating,Moody's Credit Watch,S&P Issuer Rating,S&P Reported Rating,S&P Credit Watch,Fitch Issuer Rating,Fitch Reported Rating,Moody's Industry Classification,S&P Industry,Fitch Industry,Moody's Recovery Rate,S&P Recovery Rate,Country,Index Spread Adjustment,Aggregate Par Amount Issued,Commitment Amount,Cumulative Capitalized Amount,Currency,Current Par Value,Default Date,Default Status,Expected Maturity Date,Factor,Fitch Country Rating,Fitch Current Rating,Fitch Industry Code,Fitch Recovery Rate,LGD,pd_bucket,pd_rating_source,pd_rating_used,pd_years_to_horizon,PD,price_source
0,Athene Global Funding,375000.0,,BBG012547W57,04685A3C3,ATHENE GLOBAL FU 1.985% 8/19/2028,93.849,SNSE,, ,,2.0,FXD,30_360,,1.985,,,08/19/2028,,A1,CWNT,A-,A-,CWNT,,A,"Banking, Finance, Insurance & Real Estate",Insurance,Banking & Finance,,0.41,US,,,,,USD,375000.0,,No,,,AAA,A+,27,,0.5900000000000001,A-,issuer,A-,2.221917808219178,0.0015775342465753,reported
0,"A-AP Buyer, Inc.",372337.98,,BBG01S7Q43F5,00036FAB0,Term Loan B,100.5,SNSE,1.0,Yes,,4.0,FLT,ACTUAL_360,2.75,6.4134,0.0,,09/09/2031,B1,B1,CWNT,B,B,CWNT,,B,"Chemicals, Plastics & Rubber",Chemicals,Chemicals,,0.5,US,,1541245277.08,,,USD,372337.98,,No,,,AAA,,9,,0.5,B,issuer,B,5.279452054794521,0.1525169863013698,reported
0,"OMNIA Partners, LLC",369743.95,,BBG01YYT71Z5,68218HAE7,Term Loan B,100.5,SNSE,1.0,Yes,,4.0,FLT,ACTUAL_360,2.75,6.4333,0.0,,12/31/2032,B2,B2,CWNT,B,B,CWNT,,B,Services: Business,Professional Services,Business Services General,,0.4,US,,7434956211.88,,,USD,369743.95,,No,,,AAA,,28,,0.6,B,issuer,B,6.5917808219178085,0.1752849315068493,reported
0,Evercommerce Solutions Inc.,365352.94,,BBG01W92GV44,29977YAB9,Term Loan,97.438,SNSE,1.0,Yes,,12.0,FLT,ACTUAL_360,2.25,5.9022,0.5,,07/07/2031,B1,B1,CWNT,B+,B+,CWNT,,BB-,Services: Business,Software,Technology Software,,0.3,US,,1777750000.0,,,USD,365352.94,,No,,,AAA,,2,,0.7,B+,issuer,B+,5.104109589041096,0.1305594520547945,reported
0,"RealPage, Inc.",365264.34,,BBG01R3YJWK8,75605VAH5,Incremental Term Loan (12/24),95.625,SNSE,1.0, ,,4.0,FLT,ACTUAL_360,3.75,7.4496,0.5,,04/24/2028,B3,B3,CWNT,B-,B-,CWNT,,B,Services: Business,Professional Services,Business Services General,,0.35,US,,4641500000.0,,,USD,365264.34,,No,,,AAA,B+,28,,0.65,B-,issuer,B-,1.9013698630136984,0.1060427397260273,reported
0,"ENTRATA, INC",364358.38,,BBG01XFZ2Q39,29387PAB2,Term Loan,99.375,SNSE,1.0, ,,12.0,FLT,ACTUAL_360,2.75,6.4022,0.0,,09/20/2032,,,,,,,,CCC,High Tech Industries,Software,Technology Software,,,US,,399000000.0,,,USD,364358.38,,No,,,AAA,,2,,,CCC/C,unrated_conservative,CCC/C,6.3123287671232875,0.4789482191780821,reported
0,"Pye-Barker Fire & Safety, LLC",364071.13,,BBG01YV955K1,69380SAC7,Delayed Draw Term Loan (12/25),100.25,SNSE,1.0, ,,6.0,FLT,,2.5,2.5,0.0,0.03,12/16/2032,B2,B2,CWNT,B,B,CWNT,,B,Services: Business,Commercial Services & Supplies,Industrial/Manufacturing,,0.35,US,,2572000000.0,,,USD,364071.13,,No,,,,,10,,0.65,B,issuer,B,6.550684931506849,0.1747095890410959,reported
0,"CPV Three Rivers, LLC",360000.0,,BBG0217DXSL8,22413DAB2,Term Loan B (03/26),100.25,SNSE,1.0, ,,4.0,FLT,ACTUAL_360,2.75,6.4231,,,04/15/2033,,Ba3,CWNT,,B+,,,B,Utilities: Oil & Gas,Gas Utilities,Utilities (Power),,0.75,US,,750000000.0,,,USD,360000.0,,No,,,AAA,,26,,0.25,B+,issue_fallback,B+,6.879452054794521,0.1592435616438356,reported
0,"PerForce Software, Inc.",356899.23,,BBG01R6KHNQ1,71376GAK7,Amendment No. 7 Term Loan (12/24),56.375,SNSE,1.0,Yes,,12.0,FLT,ACTUAL_360,4.75,8.4022,0.0,,06/29/2029,B3,B3,CWNT,B-,B-,CWNT,,B-,High Tech Industries,Software,Technology Software,,0.35,US,,2599239413.02,,,USD,356899.23,,No,,,AAA,,2,,0.65,B-,issuer,B-,3.0821917808219177,0.1622027397260274,reported
0,Anticimex Global AB,353278.94,,BBG01Y5NDYK7,03703HAD8,Term Loan B,100.313,SNSE,1.0,Yes,,4.0,FLT,ACTUAL_360,2.9,6.54,0.0,,11/17/2031,B3,B3,CWNT,B,B,CWNT,,B-,Services: Consumer,Professional Services,Business Services General,,0.3,SE,,2222450002.83,,,USD,353278.94,,No,,,AAA,,28,,0.7,B,issuer,B,5.468493150684932,0.1563167123287671,reported
0,Tronox Finance LLC,350767.64,,BBG01PPN4C77,89705DAP7,Term Loan B (09/24),85.0,SNSE,1.0, ,,12.0,FLT,ACTUAL_360,2.5,6.1522,0.0,,09/30/2031,B2,B1,CWNT,CCC+,CCC+,CWNT,,B,"Chemicals, Plastics & Rubber",Chemicals,Chemicals,,0.7,US,,2584438754.0,,,USD,350767.64,,No,,,AAA,,9,,0.3,CCC/C,issuer,CCC/C,5.336986301369863,0.4688046575342465,reported
0,Churchill Downs Incorporated,346725.09,,BBG01S4BHRQ2,17148PAF8,Term Loan B1 (3/21),100.188,SNSE,1.0, ,,12.0,FLT,ACTUAL_360,1.75,5.4022,0.0,,03/17/2028,Ba3,Ba1,CWNT,BB-,BB-,CWNT,,BB,"Hotel, Gaming & Leisure","Hotels, Restaurants & Leisure","Gaming, Leisure & Entertainment",,0.7,US,,573750000.0,,,USD,346725.09,,No,,,AAA,,19,,0.3,BB-,issuer,BB-,1.797260273972603,0.0233695890410958,reported
0,"USI, Inc.",338682.97,,BBG01R72PS99,90351NAQ8,Term Loan B 2030 (12/24),100.0,SNSE,1.0,Yes,,4.0,FLT,ACTUAL_360,2.25,5.9496,0.0,,09/27/2030,B2,B1,CWNT,B,B,CWNT,,B,"Banking, Finance, Insurance & Real Estate",Insurance,Banking & Finance,,0.3,US,,8132451001.86,,,USD,338682.97,,No,,,AAA,,27,,0.7,B,issuer,B,4.328767123287672,0.1317972602739726,reported
0,"RadNet Management, Inc.",332741.75,,BBG01QXXY1Q4,75049EAR5,Term Loan B (11/24),100.0,SNSE,1.0, ,,4.0,FLT,ACTUAL_360,2.25,5.9227,0.0,,04/18/2031,B1,Ba3,CWNT,B+,B+,CWNT,,B+,Healthcare & Pharmaceuticals,Health Care Providers & Services,Healthcare Providers,,0.4,US,,1321534943.32,,,USD,332741.75,,No,,,AAA,,22,,0.6,B+,issuer,B+,4.884931506849315,0.1263145205479452,reported
0,"Sazerac Company, Inc.",328550.0,,BBG01YZC8HN8,80583EAP1,Term Loan B (01/26),100.0,SNSE,1.0,Yes,,12.0,FLT,ACTUAL_360,2.0,5.66,0.0,,07/09/2032,Ba3,Ba3,CWNT,BB-,BB-,CWNT,,BB-,"Beverage, Food & Tobacco",Consumer Staples Distribution & Retail,"Food, Beverage & Tobacco",,0.4,US,,1941250000.0,,,USD,328550.0,,No,,,AAA,,17,,0.6,BB-,issuer,BB-,6.112328767123287,0.1007613698630136,reported
0,Jefferies Finance LLC / JFIN Co-Issuer Corp,304000.0,,BBG011Y6SRS5,47232MAF9,JEFFIN   5.0%   8/15/28,97.02,SNUN,, ,,2.0,FXD,30_360,,5.0,,,08/15/2028,Ba3,B2,CWNT,BB-,BB-,CWNT,,BB+,"Banking, Finance, Insurance & Real Estate",Financial Services,Banking & Finance,,0.18,US,,,,,USD,304000.0,,No,,,AAA,BB+,27,,0.8200000000000001,BB-,issuer,BB-,2.210958904109589,0.0311293150684931,reported
0,Discovery Purchaser Corporation,297476.72,,BBG01RPTXG97,25471NAC0,Term Loan,99.563,SNSE,1.0,Yes,,4.0,FLT,ACTUAL_360,3.75,7.4136,0.5,,10/04/2029,B3,B3,CWNT,B-,B-,CWNT,,B-,"Chemicals, Plastics & Rubber",Chemicals,Chemicals,,0.35,US,,4498774144.45,,,USD,297476.72,,No,,,AAA,,9,,0.65,B-,issuer,B-,3.347945205479452,0.1712649315068493,reported
0,"EW Scripps Company, The",296396.46,,BBG01TFZ9FD4,26928BAR0,Term Loan B3,95.875,SNSE,1.0, ,,12.0,FLT,ACTUAL_360,3.35,7.1255,1.0,,11/30/2029,Caa1,B2,CWNT,CCC+,CCC+,CWNT,,CCC,"Media: Advertising, Printing & Publishing",Media,Broadcasting & Media,,0.7,US,,569044790.38,,,USD,296396.46,,No,,,AAA,B,4,,0.3,CCC/C,issuer,CCC/C,3.504109589041096,0.4284745205479452,reported
0,"Avalara, Inc.,",294440.76,,BBG01X4RGBJ0,05338KAD9,Term Loan (09/25),96.563,SNSE,1.0,Yes,,4.0,FLT,ACTUAL_360,2.75,6.4496,0.0,,03/26/2032,B2,B2,CWNT,B-,B-,CWNT,,B,High Tech Industries,Software,Technology Software,,0.3,US,,7481281250.0,,,USD,294440.76,,No,,,AAA,BB-,2,,0.7,B-,issuer,B-,5.824657534246575,0.2358035616438356,reported
0,GENERAL MOTORS CO,293000.0,,BBG00TQHLQM5,37045VAU4,GENERAL MOTORS 6.8% 10/1/27,102.647,SNUN,, ,,2.0,FXD,30_360,,6.8,,,10/01/2027,,Baa2,CWNT,BBB,BBB,,,BBB,Automotive,Automobiles,Automobiles,,0.18,US,,,,,USD,293000.0,,No,,,AAA,BBB,7,,0.8200000000000001,BBB,issuer,BBB,1.336986301369863,0.0019739726027397,reported
0,1261229 B.C. LTD.,290560.57,,BBG01SXN9X44,C6903HAB0,Term Loan B,96.438,SNSE,1.0, ,,12.0,FLT,ACTUAL_360,6.25,9.9022,0.0,,09/25/2030,Caa2,Caa1,CWNT,B-,B-,CWNT,,CCC,Healthcare & Pharmaceuticals,Pharmaceuticals,Pharmaceuticals,,0.63,US,,2977500000.0,,,USD,290560.57,,No,,,AAA,WD,24,,0.37,B-,issuer,B-,4.323287671232877,0.2021641095890411,reported
0,"AL NGPL Holdings, LLC",290000.0,,BBG01ZVQP4X7,01021AAB6,Term Loan B,100.25,SNSE,1.0, ,,4.0,FLT,ACTUAL_360,2.0,5.6773,1.0,,12/09/2030,Ba3,Ba3,CWNT,B+,B+,CWNT,,B+,Energy: Oil & Gas,"Oil, Gas & Consumable Fuels",Energy (oil & gas),,0.3,US,,5841967915.14,,,USD,290000.0,,No,,,AAA,,25,,0.7,B+,issuer,B+,4.528767123287671,0.1186213698630136,reported
0,BIP Pipeco Holdings LLC,290000.0,,BBG01ZVQHYS6,05554DAB6,Term Loan (12/23),100.188,SNSE,1.0, ,,4.0,FLT,ACTUAL_360,2.0,5.6773,0.0,,12/05/2030,Ba3,Ba3,CWNT,B+,B+,CWNT,,B+,Energy: Oil & Gas,"Oil, Gas & Consumable Fuels",Energy (oil & gas),,0.3,US,,1514000000.0,,,USD,290000.0,,No,,,AAA,,25,,0.7,B+,issuer,B+,4.517808219178082,0.1183846575342465,reported
